Date;Spot;
0.000000;95.030000;
0.005436;94.922331;
0.010873;94.541017;
0.016309;95.321082;
0.021746;93.439096;
0.027182;93.269482;
0.032619;92.338397;
0.038055;92.650611;
0.043492;91.269169;
0.048928;91.036750;
0.054365;91.584231;
0.059801;90.453780;
0.065238;88.070936;
0.070674;89.080901;
0.076110;89.169725;
0.081547;92.050601;
0.086983;91.539310;
0.092420;93.011468;
0.097856;92.903263;
0.103293;92.491136;
0.108729;93.055256;
0.114166;93.878445;
0.119602;95.103322;
0.125039;93.526216;
0.130475;92.207502;
0.135912;89.624750;
0.141348;90.466619;
0.146785;88.877113;
0.152221;89.599408;
0.157657;90.435320;
0.163094;88.919227;
0.168530;87.063371;
0.173967;88.161983;
0.179403;88.667231;
0.184840;87.456287;
0.190276;88.750864;
0.195713;88.213155;
0.201149;87.488353;
0.206586;86.849775;
0.212022;89.178546;
0.217459;88.508250;
0.222895;90.691115;
0.228331;88.683775;
0.233768;92.184561;
0.239204;89.509377;
0.244641;88.921961;
0.250077;88.984028;
0.255514;87.609294;
0.260950;89.137743;
0.266387;89.559761;
0.271823;88.422282;
0.277260;91.168771;
0.282696;88.490495;
0.288133;84.908344;
0.293569;83.744689;
0.299006;84.855998;
0.304442;84.766896;
0.309878;86.012549;
0.315315;86.510806;
0.320751;85.172223;
0.326188;85.510315;
0.331624;83.558918;
0.337061;82.645228;
0.342497;83.228692;
0.347934;85.163253;
0.353370;85.695914;
0.358807;84.779166;
0.364243;82.126255;
0.369680;78.812017;
0.375116;78.544951;
0.380552;78.390240;
0.385989;77.978057;
0.391425;78.333425;
0.396862;77.825322;
0.402298;77.608307;
0.407735;78.626794;
0.413171;77.037037;
0.418608;77.111374;
0.424044;75.596140;
0.429481;76.319605;
0.434917;77.340591;
0.440354;77.056268;
0.445790;76.725588;
0.451227;77.214792;
0.456663;76.569144;
0.462099;78.072896;
0.467536;75.939320;
0.472972;76.612417;
0.478409;75.940715;
0.483845;77.958614;
0.489282;78.849520;
0.494718;78.372587;
0.500155;77.544730;
0.505591;79.273233;
0.511028;78.434047;
0.516464;80.608660;
0.521901;81.687334;
0.527337;81.861811;
0.532773;80.031173;
0.538210;81.682511;
0.543646;83.523703;
0.549083;82.793347;
0.554519;80.901505;
0.559956;83.305684;
0.565392;82.383650;
0.570829;81.482817;
0.576265;82.336619;
0.581702;84.121963;
0.587138;82.578476;
0.592575;82.399967;
0.598011;80.522755;
0.603448;82.158180;
0.608884;81.664482;
0.614320;82.854787;
0.619757;83.373579;
0.625193;83.250853;
0.630630;83.095784;
0.636066;81.267261;
0.641503;80.209611;
0.646939;80.460084;
0.652376;79.246383;
0.657812;79.428286;
0.663249;81.161279;
0.668685;79.313419;
0.674122;77.080782;
0.679558;78.443336;
0.684994;77.481674;
0.690431;77.400666;
0.695867;76.501566;
0.701304;77.690769;
0.706740;77.028875;
0.712177;80.146831;
0.717613;80.549485;
0.723050;80.196642;
0.728486;79.175216;
0.733923;78.826170;
0.739359;79.590208;
0.744796;78.251884;
0.750232;78.261149;
0.755669;78.851376;
0.761105;79.748519;
0.766541;78.902696;
0.771978;79.892516;
0.777414;81.429054;
0.782851;81.551936;
0.788287;80.215005;
0.793724;81.010904;
0.799160;79.343434;
0.804597;79.898906;
0.810033;82.124413;
0.815470;82.582075;
0.820906;81.160044;
0.826343;84.568234;
0.831779;84.625800;
0.837215;83.539091;
0.842652;84.178994;
0.848088;84.602064;
0.853525;84.076220;
0.858961;85.212574;
0.864398;84.554242;
0.869834;84.616191;
0.875271;82.860222;
0.880707;81.973600;
0.886144;81.243828;
0.891580;81.627536;
0.897017;80.751487;
0.902453;80.896046;
0.907890;79.975798;
0.913326;80.534323;
0.918762;78.631794;
0.924199;80.715747;
0.929635;79.736592;
0.935072;79.124231;
0.940508;81.252278;
0.945945;81.424661;
0.951381;82.075524;
0.956818;83.300652;
0.962254;83.187228;
0.967691;86.307493;
0.973127;88.848660;
0.978564;86.316401;
0.984000;85.050723;
