Strike ;Call ;Put 
3500;621,68;87,72
3700;466,8;132,45
3800;394,99;160,45
3900;328,19;193,45
3950;296,73;211,9
4000;266,93;232
4050;241,23;256,2
4100;214,35;279,22
4150;188,95;303,73
4200;166,2;330,88
4250;145,25;359,83
4300;126,05;390,53
4350;108,55;422,94
4400;92,85;457,14
4500;66,4;530,5
4600;46,15;610,05
4800;21;784,51
